G GS MPG FG% 3p% FT% OFF DEF RPG APG SPG BPG TO PF PPG Class
362 223 24.4 0.466 0.405 0.800 0.6 2.1 2.7 1.5 0.5 0.3 0.8 2.0 8.8 1
19 0 11.9 0.273 0.298 0.970 0.1 1.1 1.2 1.2 0.4 0.0 1.2 1.4 4.6 1
1148 1140 36.9 0.452 0.400 0.894 1.0 3.2 4.2 3.6 1.2 0.2 2.2 2.3 20.0 1
466 170 19.8 0.482 0.284 0.745 0.9 1.9 2.8 1.3 1.2 0.4 1.4 2.2 7.8 1
38 1 9.5 0.381 0.292 0.743 0.3 0.9 1.2 0.3 0.3 0.1 0.5 1.1 3.1 1
70 19 18.3 0.413 0.381 0.827 0.6 1.3 1.9 1.1 0.3 0.1 1.1 1.7 6.7 1
77 4 11.5 0.380 0.325 0.757 0.2 1.1 1.3 0.8 0.1 0.1 0.6 0.8 3.7 1
552 455 35.0 0.421 0.351 0.803 0.8 3.1 3.9 5.3 1.6 0.2 3.2 3.0 20.7 1
282 142 26.8 0.407 0.374 0.876 0.3 1.7 2.0 4.4 0.6 0.0 1.6 1.7 10.9 1
208 84 24.2 0.459 0.409 0.770 1.2 2.8 4.0 1.1 0.6 0.5 1.0 2.0 10.5 1
588 109 24.6 0.461 0.391 0.823 0.4 1.8 2.3 2.4 0.9 0.1 1.5 2.2 12.5 1
356 56 18.2 0.429 0.358 0.803 0.3 1.6 1.9 3.3 0.4 0.0 1.4 1.4 7.6 1
255 202 26.2 0.460 0.372 0.836 1.2 2.7 3.9 1.3 0.8 0.7 1.0 2.0 10.2 1
229 36 18.2 0.412 0.350 0.822 0.3 1.5 1.8 2.8 0.4 0.1 1.4 2.0 8.1 1
137 54 17.1 0.452 0.332 0.815 0.3 1.8 2.1 2.1 0.8 0.4 1.2 1.9 8.1 1
287 148 21.5 0.424 0.393 0.796 0.2 1.5 1.8 1.3 0.6 0.1 1.0 1.5 8.9 1
706 479 28.1 0.434 0.406 0.799 0.6 2.2 2.8 1.7 0.7 0.2 1.0 2.6 9.9 1
1001 950 33.9 0.436 0.379 0.802 0.5 2.6 3.1 5.5 1.2 0.2 2.1 1.9 14.7 1
1002 908 32.2 0.416 0.389 0.894 0.5 2.5 2.9 5.5 1.0 0.2 2.1 2.1 15.5 1
631 304 24.8 0.404 0.387 0.785 0.3 1.8 2.1 3.9 0.7 0.1 1.4 1.5 6.9 1
121 26 19.0 0.417 0.260 0.718 0.7 1.6 2.4 2.9 1.0 0.3 2.0 1.6 5.6 1
652 34 19.9 0.417 0.348 0.876 0.4 0.9 1.3 3.2 0.6 0.0 1.2 1.0 8.9 1
95 28 16.1 0.475 0.373 0.756 0.4 1.0 1.4 1.0 0.6 0.1 1.0 1.4 5.6 1
418 267 25.2 0.501 0.244 0.686 1.0 2.1 3.0 1.8 1.4 0.3 0.9 1.2 9.0 1
56 47 29.4 0.428 0.313 0.764 1.3 2.3 3.6 2.3 0.9 0.3 2.1 2.1 12.6 1
315 35 17.7 0.422 0.344 0.819 0.4 1.4 1.8 1.1 0.7 0.2 0.9 1.3 7.7 1
1161 1013 36.5 0.453 0.337 0.838 1.2 4.1 5.3 4.7 1.5 0.5 3.0 2.6 25.4 1
59 0 15.9 0.429 0.333 0.727 1.0 1.3 2.2 0.9 0.5 0.1 0.9 1.4 7.2 1
42 0 8.5 0.405 0.182 0.768 0.5 0.8 1.3 0.3 0.3 0.1 0.3 0.5 2.6 1
2 0 18.0 0.273 0.000 1.000 3.0 2.5 5.5 0.5 1.0 0.0 0.0 1.0 5.0 1
232 26 18.4 0.438 0.247 0.798 0.3 1.2 1.5 3.1 0.7 0.1 1.5 1.8 7.7 1
480 293 28.4 0.482 0.381 0.875 0.4 2.2 2.5 7.2 0.9 0.1 1.7 1.8 9.9 1
458 84 16.6 0.413 0.384 0.841 0.3 1.6 1.9 0.7 0.5 0.1 0.6 1.5 6.6 1
986 947 35.7 0.444 0.374 0.798 1.4 3.7 5.1 3.9 1.2 0.7 2.2 2.9 21.4 1
289 196 27.1 0.419 0.359 0.781 0.3 2.0 2.4 3.6 1.5 0.1 1.8 2.6 8.3 1
65 2 19.4 0.393 0.276 0.776 0.3 1.1 1.4 2.0 0.7 0.0 1.6 1.9 6.8 1
215 172 29.5 0.460 0.363 0.853 0.5 2.3 2.8 5.2 1.0 0.2 2.4 1.4 12.1 1
358 329 32.1 0.440 0.379 0.775 0.4 2.5 2.8 5.4 1.5 0.1 2.0 2.0 11.9 1
279 48 19.9 0.374 0.365 0.817 0.2 2.1 2.3 0.8 0.4 0.2 0.6 1.6 7.1 1
812 399 31.8 0.408 0.348 0.852 0.4 2.2 2.6 3.9 1.0 0.2 2.0 1.6 15.3 1
106 50 26.2 0.394 0.279 0.815 0.7 1.9 2.6 2.9 0.9 0.1 2.1 1.6 13.5 1
180 174 34.0 0.473 0.441 0.901 0.6 3.4 4.1 5.8 1.7 0.3 3.0 3.0 17.5 1
489 113 21.7 0.458 0.226 0.720 1.0 1.9 2.9 1.8 0.9 0.3 1.2 1.6 8.2 1
835 692 34.2 0.409 0.320 0.711 0.9 2.9 3.8 7.2 1.8 0.4 2.8 2.8 16.1 1
440 165 22.5 0.400 0.362 0.749 0.6 3.0 3.6 1.7 0.9 0.2 1.0 1.6 7.7 1
